English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Southern Kalinga                                                                 | ksc            |                |               
Southern Kisi                                                                    | kss            |                |               
Southern Kiwai                                                                   | kjd            |                |               
Southern Kurdish                                                                 | sdh            |                |               
Southern Lolopo                                                                  | ysp            |                |               
Southern Luri                                                                    | luz            |                |               
Southern Ma'di                                                                   | snm            |                |               
Southern Mashan Hmong                                                            | hma            |                |               
Southern Mnong                                                                   | mnn            |                |               
Southern Muji                                                                    | ymc            |                |               
Southern Nago                                                                    | nqg            |                |               
Southern Nambikuára                                                              | nab            |                |               
Southern Ngbandi                                                                 | nbw            |                |               
Southern Nicobarese                                                              | nik            |                |               
Southern Nisu                                                                    | nsd            |                |               
Southern Nuni                                                                    | nnw            |                |               
Southern One                                                                     | osu            |                |               
Southern Pashto                                                                  | pbt            |                |               
Southern Pastaza Quechua                                                         | qup            |                |               
Southern Pomo                                                                    | peq            |                |               
Southern Puebla Mixtec                                                           | mit            |                |               
Southern Puget Sound Salish                                                      | slh            |                |               
Southern Pumi                                                                    | pmj            |                |               
Southern Qiandong Miao                                                           | hms            |                |               
Southern Qiang                                                                   | qxs            |                |               
Southern Rengma Naga                                                             | nre            |                |               
Southern Rincon Zapotec                                                          | zsr            |                |               
Southern Roglai                                                                  | rgs            |                |               
Southern Sama                                                                    | ssb            |                |               
Southern Sami                                                                    | sma            | sma            |               
Southern Samo                                                                    | sbd            |                |               
Southern Sierra Miwok                                                            | skd            |                |               
Southern Sorsoganon                                                              | srv            |                |               
Southern Subanen                                                                 | laa            |                |               
Southern Thai                                                                    | sou            |                |               
Southern Tidung                                                                  | itd            |                |               
Southern Tiwa                                                                    | tix            |                |               
Southern Toussian                                                                | wib            |                |               
Southern Tujia                                                                   | tjs            |                |               
Southern Tutchone                                                                | tce            |                |               
Southern Uzbek                                                                   | uzs            |                |               
Southern Yamphu                                                                  | lrr            |                |               
Southern Yukaghir                                                                | yux            |                |               
Southwest Gbaya                                                                  | gso            |                |               
Southwest Palawano                                                               | plv            |                |               
Southwest Pashai                                                                 | psh            |                |               
Southwest Tanna                                                                  | nwi            |                |               
Southwestern Bontok                                                              | vbk            |                |               
Southwestern Dinka                                                               | dik            |                |               
Southwestern Fars                                                                | fay            |                |               
Southwestern Guiyang Hmong                                                       | hmg            |                |               
Southwestern Huishui Hmong                                                       | hmh            |                |               
Southwestern Nisu                                                                | nsv            |                |               
Southwestern Tarahumara                                                          | twr            |                |               
Southwestern Tepehuan                                                            | tla            |                |               
Southwestern Tlaxiaco Mixtec                                                     | meh            |                |               
Sowanda                                                                          | sow            |                |               
Soyaltepec Mazatec                                                               | vmp            |                |               
Soyaltepec Mixtec                                                                | vmq            |                |               
Spanish Sign Language                                                            | ssp            |                |               
Spanish; Castilian                                                               | spa            | spa            | es            
Spiti Bhoti                                                                      | spt            |                |               
Spokane                                                                          | spo            |                |               
Squamish                                                                         | squ            |                |               
Sranan Tongo                                                                     | srn            | srn            |               
Sri Lankan Creole Malay                                                          | sci            |                |               
Sri Lankan Sign Language                                                         | sqs            |                |               
Standard Arabic                                                                  | arb            |                |               
Standard Estonian                                                                | ekk            |                |               
Standard Latvian                                                                 | lvs            |                |               
Standard Malay                                                                   | zsm            |                |               
Standard Moroccan Tamazight                                                      | zgh            | zgh            |               
Stellingwerfs                                                                    | stl            |                |               
Stod Bhoti                                                                       | sbu            |                |               
Stoney                                                                           | sto            |                |               
Straits Salish                                                                   | str            |                |               
Suabo                                                                            | szp            |                |               
Suarmin                                                                          | seo            |                |               
Suau                                                                             | swp            |                |               
Suba                                                                             | sxb            |                |               
Suba-Simbiti                                                                     | ssc            |                |               
Subiya                                                                           | sbs            |                |               
Sudanese Arabic                                                                  | apd            |                |               
Sudanese Creole Arabic                                                           | pga            |                |               
Sudest                                                                           | tgo            |                |               
Suena                                                                            | sue            |                |               
Suga                                                                             | sgi            |                |               
Suganga                                                                          | sug            |                |               
Sugut Dusun                                                                      | kzs            |                |               
Sui                                                                              | swi            |                |               
Suki                                                                             | sui            |                |               
Suku                                                                             | sub            |                |               
Sukuma                                                                           | suk            | suk            |               
Sukur                                                                            | syk            |                |               
Sukurum                                                                          | zsu            |                |               
Sula                                                                             | szn            |                |               
Sulka                                                                            | sua            |                |               
Sulod                                                                            | srg            |                |               
Suma                                                                             | sqm            |                |               
Sumariup                                                                         | siv            |                |               
Sumau                                                                            | six            |                |               
Sumbawa                                                                          | smw            |                |               
Sumbwa                                                                           | suw            |                |               
Sumerian                                                                         | sux            | sux            |               
Sumi Naga                                                                        | nsm            |                |               
Sumtu Chin                                                                       | csv            |                |               
Sunam                                                                            | ssk            |                |               
Sundanese                                                                        | sun            | sun            | su            
Sunwar                                                                           | suz            |                |               
Suoy                                                                             | syo            |                |               
Supyire Senoufo                                                                  | spp            |                |               
Sur                                                                              | tdl            |                |               
Surbakhal                                                                        | sbj            |                |               
Surgujia                                                                         | sgj            |                |               
Suri                                                                             | suq            |                |               
Surigaonon                                                                       | sgd            |                |               
Surjapuri                                                                        | sjp            |                |               
Sursurunga                                                                       | sgz            |                |               
Suruahá                                                                          | swx            |                |               
Surubu                                                                           | sde            |                |               
Suruí Do Pará                                                                    | mdz            |                |               
Suruí                                                                            | sru            |                |               
Susu                                                                             | sus            | sus            |               
Susuami                                                                          | ssu            |                |               
Suundi                                                                           | sdj            |                |               
Suwawa                                                                           | swu            |                |               
Suyá                                                                             | suy            |                |               
Svan                                                                             | sva            |                |               
Swabian                                                                          | swg            |                |               
Swahili (individual language)                                                    | swh            |                |               
Swahili                                                                          | swa            | swa            | sw            
Swampy Cree                                                                      | csw            |                |               
Swati                                                                            | ssw            | ssw            | ss            
Swedish Sign Language                                                            | swl            |                |               
Swedish                                                                          | swe            | swe            | sv            
Swiss German; Alemannic; Alsatian                                                | gsw            | gsw            |               
Swiss-French Sign Language                                                       | ssr            |                |               
Swiss-German Sign Language                                                       | sgg            |                |               
Swiss-Italian Sign Language                                                      | slf            |                |               
Swo                                                                              | sox            |                |               
Syenara Senoufo                                                                  | shz            |                |               
Sylheti                                                                          | syl            |                |               
Syriac                                                                           | syr            | syr            |               
Sáliba                                                                           | slc            |                |               
Sãotomense                                                                       | cri            |                |               
Sìcìté Sénoufo                                                                   | sep            |                |               
Sô                                                                               | sss            |                |               
T'en                                                                             | tct            |                |               
Ta'izzi-Adeni Arabic                                                             | acq            |                |               
Taabwa                                                                           | tap            |                |               
Tabaa Zapotec                                                                    | zat            |                |               
Tabaru                                                                           | tby            |                |               
Tabasco Chontal                                                                  | chf            |                |               
Tabasco Zoque                                                                    | zoq            |                |               
Tabassaran                                                                       | tab            |                |               
Tabla                                                                            | tnm            |                |               
Tabo                                                                             | knv            |                |               
Tabriak                                                                          | tzx            |                |               
Tacahua Mixtec                                                                   | xtt            |                |               
Tacana                                                                           | tna            |                |               
Tachawit                                                                         | shy            |                |               
Tachelhit                                                                        | shi            |                |               
Tachoni                                                                          | lts            |                |               
Tadaksahak                                                                       | dsq            |                |               
Tadyawan                                                                         | tdy            |                |               
Tae'                                                                             | rob            |                |               
Tafi                                                                             | tcd            |                |               
Tagabawa                                                                         | bgs            |                |               
Tagakaulo                                                                        | klg            |                |               
Tagal Murut                                                                      | mvv            |                |               
Tagalog                                                                          | tgl            | tgl            | tl            
Tagargrent                                                                       | oua            |                |               
Tagbanwa                                                                         | tbw            |                |               
Tagbu                                                                            | tbm            |                |               
Tagdal                                                                           | tda            |                |               
Tagin                                                                            | tgj            |                |               
Tagish                                                                           | tgx            |                |               
Tagoi                                                                            | tag            |                |               
Tagwana Senoufo                                                                  | tgw            |                |               
Tahaggart Tamahaq                                                                | thv            |                |               
Tahitian                                                                         | tah            | tah            | ty            
Tahltan                                                                          | tht            |                |               
Tai Daeng                                                                        | tyr            |                |               
Tai Dam                                                                          | blt            |                |               
Tai Do                                                                           | tyj            |                |               
Tai Dón                                                                          | twh            |                |               
Tai Hongjin                                                                      | tiz            |                |               
Tai Laing                                                                        | tjl            |                |               
Tai Loi                                                                          | tlq            |                |               
Tai Long                                                                         | thi            |                |               
Tai Nüa                                                                          | tdd            |                |               
Tai Pao                                                                          | tpo            |                |               
Tai Thanh                                                                        | tmm            |                |               
Tai Ya                                                                           | cuu            |                |               
Tai languages                                                                    | tai            | tai            |               
Tai                                                                              | taw            |                |               
Taiap                                                                            | gpn            |                |               
Taikat                                                                           | aos            |                |               
Tainae                                                                           | ago            |                |               
Tairaha                                                                          | bxa            |                |               
Tairuma                                                                          | uar            |                |               
Taita                                                                            | dav            |                |               
Taiwan Sign Language                                                             | tss            |                |               
Taje                                                                             | pee            |                |               
Tajik                                                                            | tgk            | tgk            | tg            
Tajiki Arabic                                                                    | abh            |                |               
Tajio                                                                            | tdj            |                |               
Tajuasohn                                                                        | tja            |                |               
Takestani                                                                        | tks            |                |               
Takia                                                                            | tbc            |                |               
Takua                                                                            | tkz            |                |               
Takuu                                                                            | nho            |                |               
Takwane                                                                          | tke            |                |               
Tal                                                                              | tal            |                |               
Tala                                                                             | tak            |                |               
Talaud                                                                           | tld            |                |               
Taliabu                                                                          | tlv            |                |               
Talieng                                                                          | tdf            |                |               
Talinga-Bwisi                                                                    | tlj            |                |               
Talise                                                                           | tlr            |                |               
Talodi                                                                           | tlo            |                |               
Taloki                                                                           | tlk            |                |               
Talondo'                                                                         | tln            |                |               
Talu                                                                             | yta            |                |               
Talysh                                                                           | tly            |                |               
Tama (Chad)                                                                      | tma            |                |               
Tamagario                                                                        | tcg            |                |               
Taman (Indonesia)                                                                | tmn            |                |               
Tamashek                                                                         | tmh            | tmh            |               
Tamasheq                                                                         | taq            |                |               
Tamazola Mixtec                                                                  | vmx            |                |               
Tambas                                                                           | tdk            |                |               
Tambotalo                                                                        | tls            |                |               
Tami                                                                             | tmy            |                |               
Tamil                                                                            | tam            | tam            | ta            
Tamki                                                                            | tax            |                |               
Tamnim Citak                                                                     | tml            |                |               
Tampias Lobu                                                                     | low            |                |               
Tampuan                                                                          | tpu            |                |               
Tampulma                                                                         | tpm            |                |               
Tanacross                                                                        | tcb            |                |               
Tanahmerah                                                                       | tcm            |                |               
Tanaina                                                                          | tfn            |                |               
Tanapag                                                                          | tpv            |                |               
Tandaganon                                                                       | tgn            |                |               
Tandia                                                                           | tni            |                |               
Tandroy-Mahafaly Malagasy                                                        | tdx            |                |               
Tanema                                                                           | tnx            |                |               
Tangale                                                                          | tan            |                |               
Tangchangya                                                                      | tnv            |                |               
Tanggu                                                                           | tgu            |                |               
Tangkhul Naga (India)                                                            | nmf            |                |               
Tangkhul Naga (Myanmar)                                                          | ntx            |                |               
Tangko                                                                           | tkx            |                |               
Tanglang                                                                         | ytl            |                |               
Tangoa                                                                           | tgp            |                |               
Tanguat                                                                          | tbs            |                |               
Tanimbili                                                                        | tbe            |                |               
Tanimuca-Retuarã                                                                 | tnc            |                |               
Tanjijili                                                                        | uji            |                |               
Tanosy Malagasy                                                                  | txy            |                |               
Tanudan Kalinga                                                                  | kml            |                |               
Tanzanian Sign Language                                                          | tza            |                |               
Tapei                                                                            | afp            |                |               
Tapieté                                                                          | tpj            |                |               
Tapirapé                                                                         | taf            |                |               
Tarao Naga                                                                       | tro            |                |               
Tareng                                                                           | tgr            |                |               
Tariana                                                                          | tae            |                |               
Tarifit                                                                          | rif            |                |               
Tarjumo                                                                          | txj            |                |               
Tarok                                                                            | yer            |                |               
Taroko                                                                           | trv            |                |               
Tarpia                                                                           | tpf            |                |               
Taruma                                                                           | tdm            |                |               
Tasawaq                                                                          | twq            |                |               
Tase Naga                                                                        | nst            |                |               
Tasmate                                                                          | tmt            |                |               
Tataltepec Chatino                                                               | cta            |                |               
Tatana                                                                           | txx            |                |               
Tatar                                                                            | tat            | tat            | tt            
Tatuyo                                                                           | tav            |                |               
Tauade                                                                           | ttd            |                |               
Taulil                                                                           | tuh            |                |               
Taungyo                                                                          | tco            |                |               
Taupota                                                                          | tpa            |                |               
Tause                                                                            | tad            |                |               
Taushiro                                                                         | trr            |                |               
Tausug                                                                           | tsg            |                |               
Tauya                                                                            | tya            |                |               
Taveta                                                                           | tvs            |                |               
Tavoyan                                                                          | tvn            |                |               
Tavringer Romani                                                                 | rmu            |                |               
Tawala                                                                           | tbo            |                |               
Tawallammat Tamajaq                                                              | ttq            |                |               
Tawandê                                                                          | xtw            |                |               
Tawang Monpa                                                                     | twm            |                |               
Tawara                                                                           | twl            |                |               
Taworta                                                                          | tbp            |                |               
Tawoyan                                                                          | twy            |                |               
Tawr Chin                                                                        | tcp            |                |               
Tay Khang                                                                        | tnu            |                |               
Tayart Tamajeq                                                                   | thz            |                |               
Tayo                                                                             | cks            |                |               
Taznatit                                                                         | grr            |                |               
Tboli                                                                            | tbl            |                |               
Tchitchege                                                                       | tck            |                |               
Tchumbuli                                                                        | bqa            |                |               
Te'un                                                                            | tve            |                |               
Teanu                                                                            | tkw            |                |               
Tebul Sign Language                                                              | tsy            |                |               
Tebul Ure Dogon                                                                  | dtu            |                |               
Tecpatlán Totonac                                                                | tcw            |                |               
Tedaga                                                                           | tuq            |                |               
Tedim Chin                                                                       | ctd            |                |               
Tee                                                                              | tkq            |                |               
Tefaro                                                                           | tfo            |                |               
Tegali                                                                           | ras            |                |               
Tehit                                                                            | kps            |                |               
Tehuelche                                                                        | teh            |                |               
Tejalapan Zapotec                                                                | ztt            |                |               
Teke-Ebo                                                                         | ebo            |                |               
Teke-Fuumu                                                                       | ifm            |                |               
Teke-Kukuya                                                                      | kkw            |                |               
Teke-Laali                                                                       | lli            |                |               
Teke-Nzikou                                                                      | nzu            |                |               
Teke-Tege                                                                        | teg            |                |               
Teke-Tsaayi                                                                      | tyi            |                |               
Teke-Tyee                                                                        | tyx            |                |               
Tektiteko                                                                        | ttc            |                |               
Tela-Masbuar                                                                     | tvm            |                |               
Telefol                                                                          | tlf            |                |               
Telugu                                                                           | tel            | tel            | te            
Tem                                                                              | kdh            |                |               
Temacine Tamazight                                                               | tjo            |                |               
Temascaltepec Nahuatl                                                            | nhv            |                |               
Tembo (Kitembo)                                                                  | tbt            |                |               
Tembo (Motembo)                                                                  | tmv            |                |               
Tembé                                                                            | tqb            |                |               
